
Korkmaz, Emin Erkan ==> 2.84117367292e-05
Lavelli, Alberto ==> 0.000252544930377
Zhu, Wei-Zhong ==> 2.30000394553e-05
R&auml;&auml;bis, Andriela ==> 2.96867599891e-05
Pollard, Elaine ==> 2.31920653932e-05
Ohta, Tomoko ==> 0.00040946139038
Miwa, Makoto ==> 0.000135543198768
Nunes, Maria das Gra&ccedil;as Volpe ==> 2.31630850148e-05
Herzog, Martha ==> 1.99873071241e-05
Menn, Lise ==> 3.17860650605e-05
Hemphill, Charles T. ==> 0.000147015872943
Tomabechi, Hideto ==> 6.93312527558e-05
May, Jonathan ==> 0.000136788535465
Parvaz, Dan ==> 4.19738737019e-05
Han, Kyoung-Soo ==> 2.4418300804e-05
Ulmann, Martin S. ==> 1.6967559029e-05
Lintean, Mihai ==> 1.66274984944e-05
Romano, Lorenza ==> 0.00019371919044
Araki, Tetsuo ==> 3.80032814501e-05
Huang, Xuanjing ==> 6.91159936971e-05
Chang, Pi-Chuan ==> 0.000258230125096
Garbuio, Lorenzo ==> 2.51693413769e-05
Jean-Marie, Francois ==> 3.33391287988e-05
Dong, Qiang ==> 4.24369863092e-05
Borissova, Elena ==> 1.59313224616e-05
Esteban, Jose ==> 2.19728464213e-05
Tomita, Masaru ==> 0.000254881347507
Hempelmann, Christian F. ==> 5.40755275766e-05
Kasahara, Kaname ==> 3.90076933287e-05
Muoz, R. ==> 4.12294411417e-05
Chan, Shing-Kit ==> 6.91848347072e-05
Yuan, Wei ==> 3.93744905192e-05
McTear, Michael F. ==> 2.01575782275e-05
Collins, Michael John ==> 0.00331171868702
Bungeroth, Jan ==> 1.67365562492e-05
Maier, David ==> 2.37097793733e-05
Ram, Ashwin ==> 1.51561366608e-05
Park, Jungyeul ==> 2.51600030624e-05
Zhang, Yibo ==> 1.56784106674e-05
Zhao, Ying ==> 2.54390347727e-05
Kim, Seokhwan ==> 6.48232368534e-05
Cannesson, Emmanuelle ==> 1.66529918926e-05
Morton, Thomas S. ==> 0.000144718228027
Luquet, Pierre-Sylvain ==> 4.23581650474e-05
Dauphin, Eva ==> 8.8445247962e-05
Huang, Bryant ==> 4.95699136565e-05
Roukos, Salim ==> 0.00222985386456
Liu, Yixuan ==> 2.38768330711e-05
Yoshimura, W. ==> 2.85782136649e-05
Cohen, Michael ==> 3.68762310442e-05
Hassel, Martin ==> 1.56582903411e-05
Voyer, Robert ==> 2.20478913449e-05
Hou, Min ==> 2.92819066163e-05
Boda, Peter Pal ==> 1.45024049169e-05
Swanson, Reid ==> 7.09146252354e-05
Douthat, A. ==> 2.67902883941e-05
Manganaro, Linda ==> 3.28911434998e-05
Ben Gur, Assaf ==> 2.07569827953e-05
Ng, Hwee Tou ==> 0.00209195607584
Ahlswede, Thomas E. ==> 0.000161137406542
Sehitoglu, Onur T. ==> 1.47262267382e-05
Kawazoe, Ai ==> 3.75096326078e-05
Murphy, Kevin ==> 3.52589773015e-05
Ibekwe-SanJuan, Fidelia ==> 4.65489674913e-05
Kermes, Hannah ==> 3.0597025755e-05
Rattanamanee, Patthrawan ==> 3.45778732716e-05
Vargas-Vera, Maria ==> 1.94923271044e-05
Zhang, Guoqing ==> 2.28336105021e-05
Pan, Yue ==> 3.92480257164e-05
Mather, Laura A. ==> 6.861990017e-05
Mexia, Joao ==> 2.60814650963e-05
Wei, Yu-Chuan ==> 3.84282158486e-05
