Korkmaz, Emin Erkan ==> 2.50129323214e-09
Lavelli, Alberto ==> 0.000423589586742
Zhu, Wei-Zhong ==> 4.90432294164e-08
R&auml;&auml;bis, Andriela ==> 6.32653505694e-07
Pollard, Elaine ==> 0.0
Ohta, Tomoko ==> 0.000507505641312
Miwa, Makoto ==> 6.20228625527e-06
Nunes, Maria das Gra&ccedil;as Volpe ==> 0.0
Herzog, Martha ==> 1.37239310295e-07
Menn, Lise ==> 1.15079373329e-07
Hemphill, Charles T. ==> 0.000279274790348
Tomabechi, Hideto ==> 1.43968045334e-05
May, Jonathan ==> 2.22507122006e-05
Parvaz, Dan ==> 3.33701337423e-07
Han, Kyoung-Soo ==> 4.38527736866e-07
Ulmann, Martin S. ==> 0.0
Lintean, Mihai ==> 2.01445578508e-10
Romano, Lorenza ==> 6.74355134163e-05
Araki, Tetsuo ==> 1.0403055532e-07
Huang, Xuanjing ==> 0.000188073818378
Chang, Pi-Chuan ==> 9.73861012221e-05
Garbuio, Lorenzo ==> 6.05744045294e-08
Jean-Marie, Francois ==> 1.60750739337e-08
Dong, Qiang ==> 3.28321328972e-05
Redlawsk, David P. ==> 4.42289909573e-09
Hautli, Annette ==> 1.04216377431e-05
Borissova, Elena ==> 0.0
Esteban, Jose ==> 1.05538523342e-08
Tomita, Masaru ==> 0.000686819840794
Hempelmann, Christian F. ==> 0.000129920844173
Kasahara, Kaname ==> 2.94217378414e-07
Muoz, R. ==> 4.23137116129e-06
Dietzel, Taiko ==> 2.17341396898e-06
Yuan, Wei ==> 3.12725124271e-07
McTear, Michael F. ==> 2.50805764433e-09
Collins, Michael John ==> 0.0162844814378
Bungeroth, Jan ==> 2.01443473384e-10
Maier, David ==> 8.75229147703e-09
Ram, Ashwin ==> 0.0
Park, Jungyeul ==> 2.51986785221e-07
Zhang, Yibo ==> 0.0
Zhao, Ying ==> 4.81544012451e-09
Kim, Seokhwan ==> 2.06633014187e-06
Cannesson, Emmanuelle ==> 5.69512961605e-09
Morton, Thomas S. ==> 5.07671270954e-05
Luquet, Pierre-Sylvain ==> 2.43960492613e-05
Dauphin, Eva ==> 5.99592188051e-05
Huang, Bryant ==> 1.28820768549e-07
Roukos, Salim ==> 0.0120311818487
Liu, Yixuan ==> 8.39575831533e-08
Yoshimura, W. ==> 1.6745911527e-07
Cohen, Michael ==> 2.32378205094e-07
van Santen, Jan ==> 2.0205802013e-06
Hassel, Martin ==> 0.0
Voyer, Robert ==> 9.6184349538e-08
Hou, Min ==> 2.54707318299e-06
Boda, Peter Pal ==> 0.0
Swanson, Reid ==> 9.91027863269e-07
Douthat, A. ==> 5.2336327131e-07
Manganaro, Linda ==> 1.85241750917e-06
Ben Gur, Assaf ==> 7.88807933012e-09
Ng, Hwee Tou ==> 0.0144352401091
Ahlswede, Thomas E. ==> 0.000313983627474
Sehitoglu, Onur T. ==> 0.0
Kawazoe, Ai ==> 1.47440542246e-06
Murphy, Kevin ==> 2.20979045399e-06
Ibekwe-SanJuan, Fidelia ==> 3.12835115984e-06
Kermes, Hannah ==> 6.48438140864e-07
Rattanamanee, Patthrawan ==> 1.49094620322e-06
Vargas-Vera, Maria ==> 0.0
Zhang, Guoqing ==> 6.26288078318e-07
Pan, Yue ==> 2.14539177165e-06
Mather, Laura A. ==> 6.26018976866e-06
Mexia, Joao ==> 1.09563810224e-07
Wei, Yu-Chuan ==> 1.50312898053e-06
Alam, Hassan ==> 5.15717409188e-08
Kundu, Amlan ==> 1.22214840447e-07
Wang, Xuanhui ==> 1.52354897587e-06
Kettunen, Kimmo ==> 9.06803035698e-09
Soon, Wee Meng ==> 8.75810480751e-05
Bloom, Jonathan ==> 9.43777531293e-08
de Pablo-Sanchez, Cesar ==> 0.0
Vo, Tai ==> 3.25827881711e-08
Soudi, Abdelhadi ==> 5.84170461227e-07
Carvey, Hannah ==> 8.98097262948e-06
Nov&aacute;k, V&aacute;clav ==> 0.000203771742252
Knopp, Johannes ==> 2.53336208665e-05
Biber, Douglas ==> 1.963093239e-05
Ule, Tylman ==> 1.38744677717e-06
Liu, Qiu ==> 2.66955894925e-07
Chang, Jing-Shin ==> 0.000282438575338
Moulin, Bernard ==> 0.0
Garcia, Ernest V. ==> 0.0
Ge, Mingmin ==> 3.4723520505e-07
Celli, Fabio ==> 2.45536616535e-07
Bogdanova, Daria ==> 3.15364210747e-08
Gupta, Pracheer ==> 0.0
Penkale, Sergio ==> 1.86640197871e-07
Ciravegna, Fabio ==> 9.95836320534e-05
Bosch, Sonja ==> 2.56381567167e-05
Scheible, Silke ==> 8.26930954336e-06
Wang, Haifeng ==> 0.000372598491563
Gopalan, Banu ==> 6.54604781874e-10
Murakami, Jin'ichi ==> 7.67146967399e-10
Watanabe, Yotaro ==> 2.27047888807e-05
Glachin, Egidio P. ==> 3.73040165664e-05
Viljanen, Timo ==> 4.88531934897e-08
Slator, Brian M. ==> 2.03655732122e-05
Skadhauge, Peter Rossen ==> 8.92126219593e-08
Tang, Buzhou ==> 1.24239445851e-07
Tanimoto, Steven L. ==> 0.0
Tomasic, Anthony ==> 3.225418588e-08
Baldwin, Breck ==> 0.000307982207147
Asakura, Takeshi ==> 3.50134352786e-08
Jansen, Aren ==> 1.161698943e-07
Oflazer, Kemal ==> 0.00265218514859
Skadina, Inguna ==> 5.93718713026e-08
Pinchak, Christopher ==> 1.71087269622e-06
George, Bryan ==> 0.0
Park, Hunil ==> 5.93148875014e-08
Inagaki, Yasuyoshi ==> 0.000304855785347
Wu, Shumin ==> 1.24632145e-07
Vogler, Heiko ==> 1.09197398011e-06
Kawai, Hisashi ==> 7.61548752524e-05
Kim, Jee-Hyub ==> 3.00311575481e-08
Roy, Nicholas ==> 1.17738400291e-06
Winiwarter, Werner ==> 0.0
Ward, Nigel ==> 1.69037890194e-06
Mitchell, Jeff ==> 1.58491668142e-05
III, Hal ==> 2.19250063135e-05
Buckland, Michael ==> 0.0
Jamsen, Anna ==> 0.0
Tsvetkov, Yulia ==> 2.15777348683e-05
Wang, Guangwei ==> 0.0
Wang, Arthur ==> 1.22722650266e-10
Takagi, Shinichiro ==> 1.03536077225e-06
Hartono, Rachmat ==> 5.15717409188e-08
Bergsma, Shane ==> 0.00067940879159
Cardinal, Patrick ==> 0.0
Gabay, David ==> 2.8610982105e-06
Macklovitch, Elliott ==> 1.51565409378e-05
Ferro, Lisa ==> 3.81287910413e-05
Kameyama, Megumi ==> 0.000391079264203
Ge, Niyu ==> 0.000158687119694
Park, Y. Albert ==> 1.35188339573e-06
Kim, Seongyong ==> 7.55420919403e-10
Zhang, Dakun ==> 4.64935436082e-05
Yusuf, Hammam R. ==> 2.37237939702e-06
Klingenstein, Sara ==> 3.15474693749e-06
Grimm, Scott ==> 0.0
Spurk, Christian ==> 1.79799131465e-06
Su, Jian ==> 0.00265323252942
Radicioni, Daniele P. ==> 0.0
King, Paul John ==> 1.40998091773e-07
Bhattacharyya, Pushpak ==> 0.000505018140303
Clark, Stephen ==> 0.00295229331396
Candido Jr., Arnaldo ==> 1.48704897077e-06
Monte, Enric ==> 4.01392681468e-09
Xu, Rong ==> 1.02893871114e-05
Sun, Ye ==> 6.91731737179e-07
Asher, Nicholas ==> 0.000422844972723
Wolz, Ursula ==> 0.0
Beale, Stephen ==> 0.000229191096095
Castano, Jose M. ==> 3.18938280141e-05
Liang, Lin ==> 0.0
Hu, Rile ==> 2.55599429414e-06
Lee, Chi-Hoon ==> 3.65439690546e-06
Busby, George ==> 1.45808408052e-05
Burstein, Jill ==> 0.000533060905813
Taura, Kenjiro ==> 1.60093579004e-08
Frunza, Oana ==> 8.54472459815e-07
Cheng, Yong ==> 3.99665558297e-07
Tom, Janet ==> 0.0
Winkel, Adam ==> 3.1017073445e-07
Kaplan, S. Jerrold ==> 0.000127075844392
Prasad, Hima K. ==> 8.88853273034e-07
Su&aacute;rez, Armando ==> 9.22843540853e-05
Busemann, Stephan ==> 0.000256872717015
Ichikawa, A. ==> 1.6745911527e-07
Hahn, Stefan ==> 5.84815191224e-09
Mann, Gideon S. ==> 0.000699655473679
Musgrave, Simon ==> 1.48079813742e-08
Samy, Doaa ==> 2.70170581993e-06
Israel, David J. ==> 1.81307605185e-05
Maynard, H&eacute;l&egrave;ne ==> 1.35742265706e-07
Davis, Jenny ==> 0.0
Johnson, Christopher ==> 3.15307443736e-06
Fernandes, Eraldo ==> 1.10099745022e-07
Moldovan, Christian ==> 2.01445578508e-10
Mayfield, Elijah ==> 1.46476317085e-05
Izagirre, Eli ==> 1.42826890885e-07
Brandow, Ronald ==> 5.92784038312e-06
Cimiano, Philipp ==> 0.000967859979661
Leidner, Jochen L. ==> 3.07679808449e-05
Hartmann, Knut ==> 0.0
Cheung, Jackie Chi Kit ==> 1.55156981898e-05
Psutka, J. ==> 2.59737442325e-10
Yuura, Katsuhiko ==> 2.47018386174e-05
Dudik, Miroslav ==> 1.85110420066e-08
Kukich, Karen ==> 0.000411470181232
Yamasaki, Noriyuki ==> 1.26489943042e-07
Bordea, Georgeta ==> 2.87879380162e-06
Ritz, Julia ==> 7.70142781701e-06
O'Donnell, Michael ==> 0.000587578738044
Ibrahim, Ali ==> 6.43017794183e-06
Agarwal, Abhaya ==> 3.84398309632e-05
Abouzakhar, Nasser ==> 1.712257138e-07
Sanchez, Antonio Vaquero ==> 0.0
Bellare, Kedar ==> 1.38339432815e-06
Yuen, Denis ==> 1.40828181929e-08
Haque, Rejwanul ==> 3.98216186374e-05
Deksne, Daiga ==> 5.93718713026e-08
Galu&scaron;&ccaron;&aacute;kov&aacute;, Petra ==> 9.962858496e-08
Master, Demitrios ==> 7.45922351224e-08
Geisler, Daniel ==> 2.04255369512e-09
Nahnsen, Thade ==> 2.8689974381e-06
Kaisser, Michael ==> 1.36466883203e-05
Wang, Zhiguo ==> 2.00093887569e-08
Ylilammi, Matti ==> 2.10534726256e-06
Boccalatte, A. ==> 0.0
Feng, Junlan ==> 3.09435433411e-05
Sch&uuml;tze, Hinrich ==> 0.00468364911091
Topi&cacute;, Goran ==> 2.89902514737e-06
Engel, Donald ==> 3.96515443193e-08
Alonso Alemany, Laura ==> 1.09382197887e-05
Xia, Xinsong ==> 5.94040627387e-06
Strzalkowski, Tomek ==> 0.0019197199692
Winters, Scott ==> 2.58828705431e-05
Farr&eacute;, Jacques ==> 0.0
Binnick, Robert I. ==> 0.0
Suh, Sungki ==> 2.4636710491e-08
IJdens, Jan ==> 2.27760237599e-07
Light, Marc ==> 0.00044825988151
Hirsim&auml;ki, Teemu ==> 4.70019581604e-07
Steedman, Mark ==> 0.00343012217894
Tsai, Dylan B. S. ==> 6.72869882553e-07
Yu, Jin ==> 1.11657875603e-05
Kerre, Etienne ==> 3.33586980706e-08
Mansikkaniemi, Andre ==> 4.60987715327e-07
Freeman, Andrew ==> 2.5120703449e-07
Raab, Jan ==> 5.02875026616e-07
Nguyen, ThuyLinh ==> 8.41242899867e-08
Fisher, Seeger ==> 1.73962909055e-06
Sawai, Susumu ==> 0.0
Marciniak, Tomasz ==> 3.68049112853e-06
Pentheroudakis, Joseph ==> 0.0
Cartwright, Timothy A. ==> 0.0
Bieler, Heike ==> 2.56984160475e-08
Eastmond, John F. G. ==> 9.46923297158e-09
Gilbert, Mazin ==> 1.64304479199e-07
Cohen, Yohai ==> 7.61065867721e-09
Wang, Zhiyang ==> 6.43135068221e-08
Elson, David K. ==> 7.85250482768e-06
Gillick, Dan ==> 4.24997194365e-05
Lacheret-Dujour, Anne ==> 0.0
P., Praveen ==> 0.0
Schuler, William ==> 0.000143436707165
Ozsoy, Makbule ==> 2.11767810578e-09
Tsuruoka, Akio ==> 0.0
Zeiler, Shawn ==> 6.91731737179e-07
Dou, Yanzhao ==> 0.0
Sarma, Vaijayanthi ==> 1.49742964369e-07
Myllari, Aleksandr ==> 1.36968078343e-07
Dunne, Simon ==> 2.53786085919e-09
Manandhar, Suresh ==> 0.000755170222973
Rabiega-Wisniewska, Joanna ==> 1.05486646113e-06
Santaholma, Marianne ==> 1.99198251544e-05
Katz, Karen ==> 8.57853185357e-05
Gruenstein, Alexander ==> 5.11885865021e-05
Boros, Emanuela ==> 3.27756672678e-09
Snyder, Benjamin ==> 0.00029264396363
Jauhiainen, Krista ==> 0.0
Okamoto, Jun ==> 0.0
Silva, Roberto ==> 1.86006910283e-06
Dahlback, Nils ==> 0.000104640829425
Cui, Hang ==> 1.68981821547e-06
Kirsten, Mathias ==> 6.54902747972e-07
Mitra, Pabitra ==> 8.40713332937e-06
Shieber, Stuart M. ==> 0.0060697661676
Li, Wenbo ==> 4.38105209271e-07
Komiya, Kanako ==> 6.71316604262e-07
Dunne, Cody ==> 1.25806026059e-06
Kohl, Dieter ==> 8.12928944692e-07
Albrecht, Joshua ==> 7.55162439347e-06
Bestougeff, Helene ==> 0.0
Benedict, Richard ==> 1.17707449918e-08
Shrestha, Lokesh ==> 8.35519737455e-06
Kveton, Pavel ==> 4.66321550452e-05
Wolska, Magdalena ==> 0.000214064920714
Yu, Bin ==> 6.48087739931e-08
Pinchuk, Rani ==> 0.0
Kato, Susumu ==> 7.1944849467e-10
Reddy, Manohar ==> 1.86303080664e-06
Canisius, Sander ==> 1.26857317748e-05
Peitz, Stephan ==> 3.3386323777e-07
Ibushi, Katsutoshi ==> 4.06129443283e-06
Hardy, Hilda ==> 1.76104663306e-06
Oh, Jong-Hoon ==> 6.69595184321e-05
Takeuchi, Nao ==> 0.0
Kambayashi, Yahiko ==> 0.0
Benson, Edward ==> 5.15193232947e-06
Reddy, Nandi ==> 6.62334026744e-06
Zhu, Honggang ==> 8.2409554844e-09
Semecky, Jiri ==> 4.80428642219e-06
Foster, Dean ==> 4.05925133035e-07
Pedersen, Bolette Sandford ==> 0.0
Huang, Yunfeng ==> 4.97224846897e-07
Saarikoski, Harri M. T. ==> 5.25846356014e-09
Liu, Juan ==> 2.5059052138e-11
Riza, Hammam ==> 0.000230628710836
Ooyama, Yoshifumi ==> 1.79606124628e-06
Brouwer, Harm ==> 0.0
Gillon, Brendan S. ==> 1.97624823047e-09
Detre, Greg ==> 0.0
Takeuchi, Masahito ==> 8.73935932258e-09
De Smet, Wim ==> 4.20255799386e-08
Vega, Jose ==> 4.00808899478e-07
Laws, Florian ==> 0.000112874751968
Gottesman, Benjamin ==> 1.5787304114e-08
Simonova, O. P. ==> 7.55420919403e-09
Liden, Per ==> 3.40108538428e-06
Consoli, Carlo ==> 4.26648877842e-08
Chae, Jieun ==> 2.03451734789e-06
Toporowska Gronostaj, Maria ==> 2.46406810018e-09
Arehart, Mark ==> 0.0
Stratford, Evan ==> 1.86045850719e-09
Guardiola, Mathilde ==> 4.59070372577e-08
Goldwater, Sharon ==> 0.00106073988103
Ceberio, Klara ==> 1.37802069049e-09
Biermann, Alan W. ==> 0.0009685045986
Schwarz, Anne ==> 2.18454067673e-09
Taljard, Elsab&eacute; ==> 1.28877573773e-08
Horacek, Helmut ==> 0.000385642938424
Liu, Jianyi ==> 9.09346823961e-09
Solti, Imre ==> 8.80068820668e-08
Bian, Guo-Wei ==> 3.67718256486e-06
Volosen, Ionut ==> 1.54068925713e-09
Thompson, Henry S. ==> 0.000416062843381
Pretorius, Rigardt ==> 0.0
Li, Fangtao ==> 1.65869242573e-05
Cristea, Dan ==> 6.6752103721e-05
De Meulder, Fien ==> 0.000118612731659
Antoniadis, G. ==> 3.32637201443e-08
Chen, Bo-Nian ==> 5.91629909404e-08
Witten, Ian H. ==> 0.000122221362031
Lopez-Lopez, Aurelio ==> 1.05917854202e-07
Mangu, Lidia ==> 3.64564537856e-07
Kass, Robert ==> 9.88917290774e-07
Ren, Han ==> 9.75081192646e-08
Spiezio, Antonella ==> 0.0
Finin, Tim ==> 1.29293721596e-05
Giampiccolo, Danilo ==> 1.00800057553e-05
Rajah, Sonya ==> 0.0
Davies, Ross A ==> 0.0
Shaked, Nava A. ==> 0.0
Routledge, Bryan R. ==> 1.85659035485e-06
Li, Shuguang ==> 1.28518626972e-06
Uchiumi, Kei ==> 3.00670747078e-08
Iordanskaja, Lidija ==> 2.2524242539e-06
Zhang, Byoung-Tak ==> 5.02000882137e-05
He, Saike ==> 1.94845871456e-08
Quinn, Alex ==> 3.23497822819e-06
Qu, Weiruo ==> 3.40444352243e-06
Rabiner, Lawrence R. ==> 2.37846468043e-06
Pe&ntilde;as, Anselmo ==> 2.27090368564e-05
Ubaldino, Marc ==> 1.0265846423e-09
Yip, Kenneth Man-Kam ==> 6.9927275274e-08
Lin, Winston ==> 5.23322672384e-06
Shindo, Hiroyuki ==> 4.97716748951e-07
Smith, Ira ==> 5.5231212283e-06
Yaginuma, Yoshitomo ==> 1.00722789254e-10
Zhang, Peng ==> 1.43612678168e-06
Gondek, David ==> 1.25196484911e-05
Mima, Hideki ==> 2.68115458506e-06
Rennie, Steven ==> 2.13624830164e-08
Kim, George ==> 5.90494381008e-08
Hafdell, Love ==> 1.87843538009e-08
Danielsson, Pernilla ==> 4.7623820342e-07
Copeck, Terry ==> 1.32823431433e-07
Lunati, Jean-Michel ==> 5.63732063792e-08
Birke, Julia ==> 2.7509342114e-05
Twomey, David ==> 9.10905229145e-08
Knoll, Sonja ==> 1.43689233892e-07
Swerts, Marc ==> 9.62971311465e-06
Tsurumaru, Hiroaki ==> 2.65546219329e-06
DiMarco, Chrysanne ==> 8.17238770738e-06
Hruschka Junior, Estevam Rafael ==> 3.88164208265e-06
Haenelt, Karin ==> 0.000176993542383
Imai, Takeshi ==> 4.93006387181e-06
Fabri, Ray ==> 0.0
Piskorski, Jakub ==> 9.12899200776e-05
